tag,emag_height_in,spacer_in,inner_core_dia_in,outer_coil_od_in,base_inner_At,base_outer_At,B_exit_G_at_base,scale_to_target,req_inner_At,req_outer_At,B_peak_G,y_peak_mm,B_anode_G,radial_purity_pct,shape_rmse_pct,monotonic_violation_pct,quality_score,inner_shaft_B_max_T,inner_shaft_B_mid_T,outer_shaft_B_max_T,iron_B_p99_T,iron_B_p999_T,iron_B_max_T,envelope_area_m2,n_channel_elems,min_station_count,linear_valid,build_s,solve_s,iron_mur
h1.375_ci0.875_oo1.500,1.375,0.25,0.875,1.5,338.0,214.5,305.3343977147591,0.9825293260284992,332.0949121976327,210.75254043311307,317.1041439576894,-27.384375000000002,27.228221577739003,96.3173678743743,24.17713621435401,5.701381319229806,89.39387388312262,0.4725537627723244,0.4243735089267999,0.18196217426837819,0.4612300083813152,0.5495844885055444,0.8354454033544575,0.06317571461991586,18361,633,True,19.8,110.7,1500.0
h1.500_ci0.875_oo1.500,1.5,0.375,0.875,1.5,338.0,214.5,304.62766114821494,0.9848087953314149,332.86537282201823,211.2414865985885,315.67641306002105,-27.384375000000002,30.17754969301382,96.54988315073948,24.561116823119708,5.225471020007015,89.41224756166586,0.4897885592398759,0.43407294745597663,0.18270647900947964,0.4722348035020731,0.5643637731105684,0.8613137687369485,0.06473723633897875,18584,630,True,27.5,111.0,1500.0
h1.625_ci0.875_oo1.500,1.625,0.5,0.875,1.5,338.0,214.5,305.06739127915205,0.9833892725869375,332.3855741343849,210.9369989698981,317.66520261491456,-27.384375000000002,30.3801222731908,96.67880564461862,24.699446396983706,5.888400871638188,89.30951560592649,0.5047643297619658,0.44215440315901916,0.17959516085655194,0.4851573552195582,0.5806286679227095,0.8831366713141959,0.06629878147046929,19998,619,True,27.8,94.1,1500.0
h1.750_ci0.875_oo1.500,1.75,0.625,0.875,1.5,338.0,214.5,304.6887657109044,0.9846112944139424,332.79861751191254,211.19912265179065,317.355340364131,-27.384375000000002,34.85719794576227,96.83840852447399,24.938252723700412,5.785113454710332,89.2972875120642,0.5219050074986463,0.451094027923311,0.17496875347795152,0.4989406541011319,0.5953982902705424,0.9268897954609754,0.06786032430091309,16892,593,True,26.3,89.2,1500.0
h1.875_ci0.875_oo1.500,1.875,0.75,0.875,1.5,338.0,214.5,301.97920202557117,0.9934458995444211,335.7847140460143,213.09414545227833,318.5755857463412,-27.384375000000002,36.690808459123765,96.89472919227728,25.670742143585063,6.191861915447058,88.99961617972522,0.5451763176810217,0.4647997241298036,0.17563951323217764,0.520734213929778,0.6188951762411613,0.9799818807398833,0.06942184989620084,16553,571,True,29.8,95.3,1500.0
h2.000_ci0.875_oo1.500,2.0,0.875,0.875,1.5,338.0,214.5,303.16695154339715,0.9895537705304801,334.46917443930226,212.259283778788,318.3850520151501,-27.384375000000002,37.68955693365022,96.93232016872572,25.443233540919913,6.128350671716703,89.10192771897452,0.5613092404205151,0.474431338315869,0.17524873864057336,0.5341049143333888,0.6340185455264369,0.92666422622834,0.07098332623031177,16572,590,True,28.0,106.1,1500.0
h1.125_ci1.000_oo1.500,1.125,0.0,1.0,1.5,338.0,214.5,310.6645913335535,0.9656716869863576,326.3970302013889,207.1365768585737,316.90333345369265,-27.384375000000002,21.683029775159152,95.87800823894067,23.562488615666254,5.634444484564217,89.46526519546141,0.3393595200510917,0.3120869319815725,0.19019240238489707,0.33814659587330476,0.4242960497254418,0.64369549977937,0.06005268520676948,18671,602,True,18.6,90.2,1500.0
h1.250_ci1.000_oo1.500,1.25,0.125,1.0,1.5,338.0,214.5,308.2068216975532,0.9733723554451151,328.9998561404489,208.7883702429772,317.5817454286528,-27.384375000000002,26.75629075415115,96.36470880751116,24.534814456572835,5.860581809550941,89.26137575139578,0.35210357223719846,0.31692652717697223,0.17989331620738178,0.3496956624097917,0.4377245093582843,0.7125216118903653,0.061614199800325106,18577,639,True,44.7,91.9,1500.0
h1.375_ci1.000_oo1.500,1.375,0.25,1.0,1.5,338.0,214.5,308.26708615261373,0.9731820667078257,328.9355385472451,208.7475533088286,315.3527289652662,-29.130625000000002,29.940727856366554,96.5989608633862,24.966075622907084,5.117576321755394,89.30387338590438,0.36466518104873114,0.327631471429544,0.18158922473663178,0.3592703042454573,0.44804636005762394,0.6719330857237142,0.06317571461991586,18528,629,True,28.3,98.7,1500.0
h1.500_ci1.000_oo1.500,1.5,0.375,1.0,1.5,338.0,214.5,307.2544877188121,0.9763893189236308,330.01958979618723,209.4355089091188,318.3718338856803,-27.384375000000002,33.487040988674686,96.78090464133588,25.483614447365667,6.123944628560101,89.03545987360555,0.3807245469406659,0.33662781164266,0.182128550319153,0.3728479494976544,0.4665174688676882,0.7265707696924153,0.06473723633897875,18305,607,True,27.4,108.1,1500.0
h1.625_ci1.000_oo1.500,1.625,0.5,1.0,1.5,338.0,214.5,306.07410921197015,0.9801547761501005,331.29231433873395,210.24319948419657,319.84411779911767,-27.384375000000002,33.976900858901395,96.89944415138163,26.099093263587637,6.6147059330392235,88.78791692077202,0.3994936874703896,0.34617695579650665,0.18027315658424645,0.39084294538296327,0.4865420793076764,0.8382749088085689,0.06629878147046929,19991,636,True,28.8,110.9,1500.0
h1.750_ci1.000_oo1.500,1.75,0.625,1.0,1.5,338.0,214.5,306.9757094249476,0.9772760214871233,330.3192952626477,209.62570660898797,316.20091307235555,-27.384375000000002,39.2341581634517,96.9344204855916,26.150082759058822,5.400304357451849,88.96447255066869,0.41682458404056255,0.35310914887975264,0.17481143480633138,0.40523304932027543,0.5025847021257526,0.7973256481844463,0.06786032430091309,17039,615,True,27.4,119.6,1500.0
h1.875_ci1.000_oo1.500,1.875,0.75,1.0,1.5,338.0,214.5,303.4742093395148,0.9885518794263404,334.130535246103,212.04437813695,320.62944404854636,-27.384375000000002,41.510497427923355,96.99702336825754,27.206275795087855,6.876481349515454,88.39528944818207,0.44080432356912475,0.36726830839789126,0.1759459494210095,0.4293747873528543,0.5329278794833509,0.85433530857338,0.06942184989620084,16242,574,True,42.4,127.9,1500.0
h2.000_ci1.000_oo1.500,2.0,0.875,1.0,1.5,338.0,214.5,306.52322260870596,0.978718667534586,330.80690962669007,209.93515418616872,317.1966032483934,-27.384375000000002,42.54086840562398,96.98702200838298,26.63538076995078,5.732201082797796,88.7632442710316,0.45559563107234613,0.37480943635945285,0.1746358526358233,0.446541994361081,0.5457034847147413,0.9501882725532224,0.07098332623031177,16721,632,True,24.2,144.3,1500.0
h1.500_ci1.000_oo1.625,1.5,0.375,1.0,1.625,338.0,214.5,308.40164649607107,0.9727574525248908,328.7920189534131,208.65647356658906,317.3627316981845,-27.384375000000002,32.96963391964565,96.76636212748836,25.252011145430934,5.7875772327281725,89.16188625881088,0.37972410633960696,0.33570802983211473,0.17824005021038794,0.3718940675055176,0.46319687704895274,0.8475528994798244,0.06524340339754649,18730,651,True,28.6,116.4,1500.0
